,Abundance %,runNumber,Ecosystem Element,Time,runType,Median,ninetyfivePerc,fivePerc
0,1.0,1,grasslandParkland,0,Accepted,1.0843699090640633,1.1993520571490646,1.0
0,0.0,1,largeHerb,0,Accepted,0.0,0.0,0.0
0,1.0,1,organicCarbon,0,Accepted,0.95861514041147,1.0,0.8953026934130546
0,1.0,1,roeDeer,0,Accepted,1.0688387461744724,1.16821311998595,1.0
0,0.0,1,tamworthPig,0,Accepted,0.0,0.0,0.0
0,1.0,1,thornyScrub,0,Accepted,1.2407518762073795,1.6468954968220668,1.0
0,1.0,1,woodland,0,Accepted,0.9390771652913837,1.0,0.8824744863358934
1,1.0270465568698603,1,grasslandParkland,0,Accepted,1.0843699090640633,1.1993520571490646,1.0
1,0.0,1,largeHerb,0,Accepted,0.0,0.0,0.0
1,0.9796152750592243,1,organicCarbon,0,Accepted,0.95861514041147,1.0,0.8953026934130546
1,1.00982613136896,1,roeDeer,0,Accepted,1.0688387461744724,1.16821311998595,1.0
1,0.0,1,tamworthPig,0,Accepted,0.0,0.0,0.0
1,1.056409394674694,1,thornyScrub,0,Accepted,1.2407518762073795,1.6468954968220668,1.0
1,0.9845147279556363,1,woodland,0,Accepted,0.9390771652913837,1.0,0.8824744863358934
2,1.0525417906990837,1,grasslandParkland,0,Accepted,1.0843699090640633,1.1993520571490646,1.0
2,0.0,1,largeHerb,0,Accepted,0.0,0.0,0.0
2,0.9615964760620724,1,organicCarbon,0,Accepted,0.95861514041147,1.0,0.8953026934130546
2,1.0196613075464305,1,roeDeer,0,Accepted,1.0688387461744724,1.16821311998595,1.0
2,0.0,1,tamworthPig,0,Accepted,0.0,0.0,0.0
2,1.118150532550848,1,thornyScrub,0,Accepted,1.2407518762073795,1.6468954968220668,1.0
2,0.971374861453731,1,woodland,0,Accepted,0.9390771652913837,1.0,0.8824744863358934
3,1.076418611236442,1,grasslandParkland,0,Accepted,1.0843699090640633,1.1993520571490646,1.0
3,0.0,1,largeHerb,0,Accepted,0.0,0.0,0.0
3,0.9457180039052613,1,organicCarbon,0,Accepted,0.95861514041147,1.0,0.8953026934130546
3,1.0295559320902807,1,roeDeer,0,Accepted,1.0688387461744724,1.16821311998595,1.0
3,0.0,1,tamworthPig,0,Accepted,0.0,0.0,0.0
3,1.18557062989123,1,thornyScrub,0,Accepted,1.2407518762073795,1.6468954968220668,1.0
3,0.960353493428452,1,woodland,0,Accepted,0.9390771652913837,1.0,0.8824744863358934
4,1.098612055845665,1,grasslandParkland,0,Accepted,1.0843699090640633,1.1993520571490646,1.0
4,0.0,1,largeHerb,0,Accepted,0.0,0.0,0.0
4,0.9317523735884673,1,organicCarbon,0,Accepted,0.95861514041147,1.0,0.8953026934130546
4,1.0395629428577795,1,roeDeer,0,Accepted,1.0688387461744724,1.16821311998595,1.0
4,0.0,1,tamworthPig,0,Accepted,0.0,0.0,0.0
4,1.259005040884025,1,thornyScrub,0,Accepted,1.2407518762073795,1.6468954968220668,1.0
4,0.9512203458659203,1,woodland,0,Accepted,0.9390771652913837,1.0,0.8824744863358934
5,1.119077307316462,1,grasslandParkland,0,Accepted,1.0843699090640633,1.1993520571490646,1.0
5,0.0,1,largeHerb,0,Accepted,0.0,0.0,0.0
5,0.9193705039425174,1,organicCarbon,0,Accepted,0.95861514041147,1.0,0.8953026934130546
5,1.0498187949284623,1,roeDeer,0,Accepted,1.0688387461744724,1.16821311998595,1.0
5,0.0,1,tamworthPig,0,Accepted,0.0,0.0,0.0
5,1.3385791660828874,1,thornyScrub,0,Accepted,1.2407518762073795,1.6468954968220668,1.0
5,0.9436457500027988,1,woodland,0,Accepted,0.9390771652913837,1.0,0.8824744863358934
6,1.1378055940552723,1,grasslandParkland,0,Accepted,1.0843699090640633,1.1993520571490646,1.0
6,0.0,1,largeHerb,0,Accepted,0.0,0.0,0.0
6,0.9084316961239696,1,organicCarbon,0,Accepted,0.95861514041147,1.0,0.8953026934130546
6,1.060373595236081,1,roeDeer,0,Accepted,1.0688387461744724,1.16821311998595,1.0
6,0.0,1,tamworthPig,0,Accepted,0.0,0.0,0.0
6,1.4246853412455087,1,thornyScrub,0,Accepted,1.2407518762073795,1.6468954968220668,1.0
6,0.9374855870402296,1,woodland,0,Accepted,0.9390771652913837,1.0,0.8824744863358934
7,1.154791864918528,1,grasslandParkland,0,Accepted,1.0843699090640633,1.1993520571490646,1.0
7,0.0,1,largeHerb,0,Accepted,0.0,0.0,0.0
7,0.898857257068024,1,organicCarbon,0,Accepted,0.95861514041147,1.0,0.8953026934130546
7,1.0712414277759585,1,roeDeer,0,Accepted,1.0688387461744724,1.16821311998595,1.0
7,0.0,1,tamworthPig,0,Accepted,0.0,0.0,0.0
7,1.517817340376522,1,thornyScrub,0,Accepted,1.2407518762073795,1.6468954968220668,1.0
7,0.9326566722241094,1,woodland,0,Accepted,0.9390771652913837,1.0,0.8824744863358934
8,1.1700310687626612,1,grasslandParkland,0,Accepted,1.0843699090640633,1.1993520571490646,1.0
8,0.0,1,largeHerb,0,Accepted,0.0,0.0,0.0
8,0.8905684937098811,1,organicCarbon,0,Accepted,0.95861514041147,1.0,0.8953026934130546
8,1.082436376543417,1,roeDeer,0,Accepted,1.0688387461744724,1.16821311998595,1.0
8,0.0,1,tamworthPig,0,Accepted,0.0,0.0,0.0
8,1.6184689374805612,1,thornyScrub,0,Accepted,1.2407518762073795,1.6468954968220668,1.0
8,0.9290758208003351,1,woodland,0,Accepted,0.9390771652913837,1.0,0.8824744863358934
9,1.1835181544441045,1,grasslandParkland,0,Accepted,1.0843699090640633,1.1993520571490646,1.0
9,0.0,1,largeHerb,0,Accepted,0.0,0.0,0.0
9,0.8834867129847411,1,organicCarbon,0,Accepted,0.95861514041147,1.0,0.8953026934130546
9,1.0939725255337793,1,roeDeer,0,Accepted,1.0688387461744724,1.16821311998595,1.0
9,0.0,1,tamworthPig,0,Accepted,0.0,0.0,0.0
9,1.7271339065622593,1,thornyScrub,0,Accepted,1.2407518762073795,1.6468954968220668,1.0
9,0.9266598480148033,1,woodland,0,Accepted,0.9390771652913837,1.0,0.8824744863358934
10,1.1952549031284185,1,grasslandParkland,1,Accepted,1.2214283980562761,1.3211529321299544,1.0999846284874404
10,0.0,1,largeHerb,1,Accepted,0.0,0.0,0.0
10,0.8775251604514345,1,organicCarbon,1,Accepted,0.9090315454720903,0.9779465415202885,0.8459865227856811
10,1.1058694657983155,1,roeDeer,1,Accepted,1.2300162930987497,1.3671710385198417,1.117935410489293
10,0.0,1,tamworthPig,1,Accepted,0.0,0.0,0.0
10,1.8442728356366864,1,thornyScrub,1,Accepted,2.245478897579341,3.142629249297189,1.69701801077067
10,0.925314277138947,1,woodland,1,Accepted,0.8927321579472314,0.9647092430234567,0.8342536359069971
11,1.2053434312490077,1,grasslandParkland,1,Accepted,1.2214283980562761,1.3211529321299544,1.0999846284874404
11,0.0,1,largeHerb,1,Accepted,0.0,0.0,0.0
11,0.8724999270174977,1,organicCarbon,1,Accepted,0.9090315454720903,0.9779465415202885,0.8459865227856811
11,1.1182299547327488,1,roeDeer,1,Accepted,1.2300162930987497,1.3671710385198417,1.117935410489293
11,0.0,1,tamworthPig,1,Accepted,0.0,0.0,0.0
11,1.9698973089875893,1,thornyScrub,1,Accepted,2.245478897579341,3.142629249297189,1.69701801077067
11,0.9248059150566065,1,woodland,1,Accepted,0.8927321579472314,0.9647092430234567,0.8342536359069971
12,1.2138283560556338,1,grasslandParkland,1,Accepted,1.2214283980562761,1.3211529321299544,1.0999846284874404
12,0.0,1,largeHerb,1,Accepted,0.0,0.0,0.0
12,0.8683421826575994,1,organicCarbon,1,Accepted,0.9090315454720903,0.9779465415202885,0.8459865227856811
12,1.1311155053894153,1,roeDeer,1,Accepted,1.2300162930987497,1.3671710385198417,1.117935410489293
12,0.0,1,tamworthPig,1,Accepted,0.0,0.0,0.0
12,2.104383516317594,1,thornyScrub,1,Accepted,2.245478897579341,3.142629249297189,1.69701801077067
12,0.9250569206653313,1,woodland,1,Accepted,0.8927321579472314,0.9647092430234567,0.8342536359069971
13,1.2207213007970126,1,grasslandParkland,1,Accepted,1.2214283980562761,1.3211529321299544,1.0999846284874404
13,0.0,1,largeHerb,1,Accepted,0.0,0.0,0.0
13,0.8650279553435624,1,organicCarbon,1,Accepted,0.9090315454720903,0.9779465415202885,0.8459865227856811
13,1.1445616769525733,1,roeDeer,1,Accepted,1.2300162930987497,1.3671710385198417,1.117935410489293
13,0.0,1,tamworthPig,1,Accepted,0.0,0.0,0.0
13,2.2482786148265856,1,thornyScrub,1,Accepted,2.245478897579341,3.142629249297189,1.69701801077067
13,0.9260515540960265,1,woodland,1,Accepted,0.8927321579472314,0.9647092430234567,0.8342536359069971
14,1.22603388872186,1,grasslandParkland,1,Accepted,1.2214283980562761,1.3211529321299544,1.0999846284874404
14,0.0,1,largeHerb,1,Accepted,0.0,0.0,0.0
