grasslandParkland,largeHerb,organicCarbon,roeDeer,tamworthPig,thornyScrub,woodland,time,ID,accepted?
1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,6,Accepted
1.0186627982992433,0.0,1.0118768055855365,1.5378129281699686,0.0,1.2782987338534337,1.0033732429674933,0.36363636363636365,6,Accepted
1.032201296053888,0.0,1.0240433450175261,1.5700203438931595,0.0,1.6306696956584754,1.006798520160218,0.7272727272727273,6,Accepted
1.041328956967289,0.0,1.0363075436726739,1.6092478902163339,0.0,2.0782017778423065,1.0102946979259009,1.0909090909090908,6,Accepted
1.0465470499052492,0.0,1.0485713343531387,1.6543868144135434,0.0,2.6458033861936285,1.0138816013099203,1.4545454545454546,6,Accepted
1.048194216008707,0.0,1.0607512916706463,1.7066213983128427,0.0,3.3644555953441033,1.017584269475972,1.8181818181818183,6,Accepted
1.0464419374280156,0.0,1.0727761312747823,1.7656468819082791,0.0,4.272398556448459,1.0214342433226935,2.1818181818181817,6,Accepted
1.041296025171988,0.0,1.0845845324410233,1.823130399444609,0.0,5.4163385444285,1.0254711096785556,2.5454545454545454,6,Accepted
1.0326049701168574,0.0,1.0961188842932588,1.895300645557715,0.0,6.852926247541853,1.0297444956782764,2.909090909090909,6,Accepted
1.0200665258078963,0.0,1.1073246068432387,2.010414009959595,0.0,8.64980300049635,1.0343161407606565,3.272727272727273,6,Accepted
1.00323269503717,0.0,1.1181577890187757,2.1132355808236025,0.0,10.884838080964428,1.0392619202481674,3.6363636363636367,6,Accepted
0.9815482404243705,0.0,1.1285627400608607,2.271197679839582,0.0,13.647977809317233,1.0446751538868344,4.0,6,Accepted
1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,13,Accepted
1.0250894655313751,0.0,1.0230452441135436,1.7224843983911118,0.0,1.254604347709334,1.0055962603704798,0.36363636363636365,13,Accepted
1.0429706731762967,0.0,1.0467699592222632,1.7746371413428224,0.0,1.5690140323757522,1.011265941523053,0.7272727272727273,13,Accepted
1.0551598684484302,0.0,1.0708798473318821,1.815830140771243,0.0,1.9596469052377425,1.017028010918529,1.0909090909090908,13,Accepted
1.0628260616237108,0.0,1.095220637200667,1.8446767713564827,0.0,2.444323012080778,1.022902350758868,1.4545454545454546,13,Accepted
1.0668575740466057,0.0,1.1196605930283479,1.8958473345719187,0.0,3.044876466000374,1.0289136675281023,1.8181818181818183,13,Accepted
1.0678785512241644,0.0,1.1440972660340192,1.948133760374572,0.0,3.7873572603733656,1.035092279480225,2.1818181818181817,13,Accepted
1.0662910936249952,0.0,1.1684441800025422,1.995003656363845,0.0,4.702936689410828,1.0414756033544181,2.5454545454545454,13,Accepted
1.0623138308522273,0.0,1.192623978381825,2.068949760990977,0.0,5.8287895379872,1.0481096780253547,2.909090909090909,13,Accepted
1.0560070223046376,0.0,1.2165769399806237,2.148448587425575,0.0,7.207761890090273,1.0550505486199413,3.272727272727273,13,Accepted
1.047305651123487,0.0,1.240249704874373,2.22786222123147,0.0,8.88891950430966,1.0623662901370692,3.6363636363636367,13,Accepted
1.0360450491476354,0.0,1.2635899123656207,2.348891870104601,0.0,10.927774837631615,1.0701389825721819,4.0,13,Accepted
1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,24,Accepted
1.0107366160770168,0.0,1.0333808299045955,1.717656950482821,0.0,1.2937011122100979,1.0061988607109817,0.36363636363636365,24,Accepted
1.0177482672641025,0.0,1.067442180777534,1.7533233770643746,0.0,1.6688394349463935,1.0124672515417452,0.7272727272727273,24,Accepted
1.021691716513557,0.0,1.101952717266865,1.7893843895069854,0.0,2.150342137206722,1.0188243920045383,1.0909090909090908,24,Accepted
1.0229539237934242,0.0,1.1367983394831325,1.8347280210614678,0.0,2.7672900835078273,1.025290980772202,1.4545454545454546,24,Accepted
1.0217497045842339,0.0,1.1718743766832442,1.8850960042973521,0.0,3.5559715810443175,1.0318934664120087,1.8181818181818183,24,Accepted
1.0181373626954244,0.0,1.2070812510464497,1.9449889944015804,0.0,4.561375009866449,1.038665623225533,2.1818181818181817,24,Accepted
1.012030637194966,0.0,1.24232258422242,2.032059477934329,0.0,5.838705976482947,1.045650365498037,2.5454545454545454,24,Accepted
